Initializing Supabase Admin client...
Supabase Admin client initialized
Loading auth middleware...
CORS Origin configured as: http://localhost:3000
🚀 API Server running on http://localhost:3002
📋 Health check: http://localhost:3002/api/health
[2026-02-04T09:07:36.621Z] GET /api/spaces
[2026-02-04T09:12:41.284Z] OPTIONS /api/spaces
[2026-02-04T09:12:41.286Z] OPTIONS /api/spaces
[2026-02-04T09:12:41.287Z] GET /api/spaces
[2026-02-04T09:12:42.792Z] GET /api/spaces
[2026-02-04T09:14:28.728Z] OPTIONS /api/payments?limit=100
[2026-02-04T09:14:28.730Z] OPTIONS /api/payments?limit=100
[2026-02-04T09:14:28.734Z] GET /api/payments?limit=100
[2026-02-04T09:14:29.489Z] GET /api/payments?limit=100
[2026-02-04T09:14:46.533Z] OPTIONS /api/contracts
[2026-02-04T09:14:46.534Z] OPTIONS /api/contracts
[2026-02-04T09:14:46.535Z] GET /api/contracts
[2026-02-04T09:14:47.212Z] GET /api/contracts
[2026-02-04T09:14:50.251Z] OPTIONS /api/tenants
[2026-02-04T09:14:50.252Z] OPTIONS /api/tenants
[2026-02-04T09:14:50.257Z] GET /api/tenants
[2026-02-04T09:14:50.858Z] GET /api/tenants
[2026-02-04T09:15:21.749Z] OPTIONS /api/stats/overview
[2026-02-04T09:15:21.749Z] OPTIONS /api/stats/overview
[2026-02-04T09:15:21.751Z] GET /api/stats/overview
[2026-02-04T09:15:22.526Z] GET /api/stats/overview
[2026-02-04T09:15:37.880Z] OPTIONS /api/spaces
[2026-02-04T09:15:37.881Z] OPTIONS /api/spaces
[2026-02-04T09:15:37.883Z] GET /api/spaces
[2026-02-04T09:15:38.727Z] GET /api/spaces
[2026-02-04T09:15:39.892Z] OPTIONS /api/tenants
[2026-02-04T09:15:39.893Z] OPTIONS /api/tenants
[2026-02-04T09:15:39.894Z] GET /api/tenants
[2026-02-04T09:15:40.557Z] GET /api/tenants
[2026-02-04T09:15:55.566Z] OPTIONS /api/contracts
[2026-02-04T09:15:55.567Z] OPTIONS /api/contracts
[2026-02-04T09:15:55.568Z] GET /api/contracts
[2026-02-04T09:15:56.331Z] GET /api/contracts
[2026-02-04T09:33:56.137Z] OPTIONS /api/contracts
[2026-02-04T09:33:56.138Z] OPTIONS /api/contracts
[2026-02-04T09:33:56.139Z] GET /api/contracts
[2026-02-04T09:33:57.754Z] GET /api/contracts
[2026-02-04T09:33:59.966Z] OPTIONS /api/tenants
[2026-02-04T09:33:59.966Z] OPTIONS /api/tenants
[2026-02-04T09:33:59.967Z] GET /api/tenants
[2026-02-04T09:34:00.624Z] GET /api/tenants
[2026-02-04T09:34:01.340Z] OPTIONS /api/spaces
[2026-02-04T09:34:01.340Z] OPTIONS /api/spaces
[2026-02-04T09:34:01.341Z] GET /api/spaces
[2026-02-04T09:34:01.953Z] GET /api/spaces
