
> bazar_bugalter@0.1.0 dev
> next dev

▲ Next.js 16.1.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.35.34.247:3000
- Environments: .env

✓ Starting...
✓ Ready in 737ms
 GET /owner/contracts 200 in 20ms (compile: 1345µs, render: 19ms)
 GET /owner/contracts 200 in 10ms (compile: 1344µs, render: 9ms)
✓ Compiled in 142ms
 GET /owner/contracts 200 in 189ms (compile: 135ms, render: 54ms)
 GET /owner/contracts 200 in 53ms (compile: 1728µs, render: 51ms)
 GET /owner/contracts 200 in 49ms (compile: 2ms, render: 47ms)
 GET /owner/contracts 200 in 39ms (compile: 1346µs, render: 37ms)
 GET /owner/contracts 200 in 39ms (compile: 968µs, render: 38ms)
 GET /owner/contracts 200 in 38ms (compile: 897µs, render: 37ms)
 GET /owner/contracts 200 in 39ms (compile: 937µs, render: 38ms)
 GET /owner/contracts 200 in 38ms (compile: 1140µs, render: 37ms)
 GET /owner/contracts 200 in 36ms (compile: 768µs, render: 35ms)
 GET /owner/contracts 200 in 35ms (compile: 806µs, render: 34ms)
 GET /owner/contracts 200 in 32ms (compile: 862µs, render: 31ms)
 GET /owner/contracts 200 in 41ms (compile: 705µs, render: 40ms)
 GET /owner/contracts 200 in 34ms (compile: 856µs, render: 33ms)
 GET /owner/contracts 200 in 35ms (compile: 695µs, render: 34ms)
 GET /owner/contracts 200 in 36ms (compile: 719µs, render: 35ms)
 GET /owner/contracts 200 in 39ms (compile: 880µs, render: 38ms)
 GET /owner/contracts 200 in 39ms (compile: 949µs, render: 38ms)
 GET /owner/contracts 200 in 40ms (compile: 1384µs, render: 39ms)
 GET /owner/contracts 200 in 40ms (compile: 1201µs, render: 39ms)
 GET /owner/contracts 200 in 30ms (compile: 1004µs, render: 29ms)
 GET /owner/contracts 200 in 34ms (compile: 1029µs, render: 33ms)
 GET /owner/contracts 200 in 41ms (compile: 1051µs, render: 39ms)
 GET /owner/contracts 200 in 41ms (compile: 1952µs, render: 39ms)
 GET /owner/contracts 200 in 40ms (compile: 1563µs, render: 39ms)
 GET /owner/contracts 200 in 43ms (compile: 818µs, render: 42ms)
 GET /owner/contracts 200 in 54ms (compile: 990µs, render: 53ms)
 GET /owner/contracts 200 in 45ms (compile: 1320µs, render: 44ms)
 GET /owner/contracts 200 in 44ms (compile: 1270µs, render: 43ms)
 GET /owner/contracts 200 in 42ms (compile: 1211µs, render: 41ms)
 GET /owner/contracts 200 in 48ms (compile: 1042µs, render: 47ms)
 GET /owner/contracts 200 in 39ms (compile: 1259µs, render: 38ms)
 GET /owner/contracts 200 in 39ms (compile: 1468µs, render: 38ms)
 GET /owner/contracts 200 in 38ms (compile: 1188µs, render: 37ms)
 GET /owner/contracts 200 in 39ms (compile: 926µs, render: 38ms)
 GET /owner/contracts 200 in 39ms (compile: 1033µs, render: 38ms)
 GET /owner/contracts 200 in 40ms (compile: 1263µs, render: 39ms)
 GET /owner/contracts 200 in 41ms (compile: 1365µs, render: 40ms)
 GET /owner/contracts 200 in 40ms (compile: 1161µs, render: 39ms)
 GET /owner/contracts 200 in 41ms (compile: 1024µs, render: 40ms)
 GET /owner/contracts 200 in 40ms (compile: 1259µs, render: 38ms)
 GET /owner/contracts 200 in 41ms (compile: 971µs, render: 40ms)
 GET /owner/contracts 200 in 42ms (compile: 979µs, render: 41ms)
 GET /owner/contracts 200 in 56ms (compile: 855µs, render: 55ms)
 GET /owner/contracts 200 in 54ms (compile: 1845µs, render: 53ms)
 GET /owner/contracts 200 in 51ms (compile: 1148µs, render: 49ms)
 GET /owner/contracts 200 in 48ms (compile: 14ms, render: 34ms)
 GET /owner/contracts 200 in 34ms (compile: 1037µs, render: 33ms)
 GET /owner/contracts 200 in 33ms (compile: 821µs, render: 32ms)
 GET /owner/contracts 200 in 33ms (compile: 647µs, render: 33ms)
 GET /owner/contracts 200 in 34ms (compile: 841µs, render: 33ms)
 GET /owner/contracts 200 in 36ms (compile: 757µs, render: 35ms)
 GET /owner/contracts 200 in 37ms (compile: 785µs, render: 36ms)
 GET /owner/contracts 200 in 47ms (compile: 654µs, render: 47ms)
 GET /owner/contracts 200 in 41ms (compile: 870µs, render: 40ms)
 GET /owner/contracts 200 in 40ms (compile: 1523µs, render: 38ms)
 GET /owner/contracts 200 in 39ms (compile: 1232µs, render: 37ms)
 GET /owner/contracts 200 in 36ms (compile: 920µs, render: 35ms)
 GET /owner/contracts 200 in 28ms (compile: 1147µs, render: 27ms)
 GET /owner/contracts 200 in 18ms (compile: 1321µs, render: 17ms)
